#instrument     mjdstart    exp    flt flux  unc    sig
GTC/ULTRACAM    59932.08034  20.41 u    0.02  2.28   0.01 
GTC/ULTRACAM    59932.08034  20.41 g    0.30  0.86   0.35 
GTC/ULTRACAM    59932.08034  20.41 i    3.13  2.39   1.31 
GTC/ULTRACAM    59932.08059  19.99 u    0.73  2.43   0.30 
GTC/ULTRACAM    59932.08059  19.99 g    0.54  0.89   0.61 
GTC/ULTRACAM    59932.08059  19.99 i    2.77  2.33   1.19 
GTC/ULTRACAM    59932.08082  19.99 u    5.06  2.43   2.08 
GTC/ULTRACAM    59932.08082  19.99 g   -1.45  0.91  -1.59 
GTC/ULTRACAM    59932.08082  19.99 i   -4.66  2.22  -2.10 
GTC/ULTRACAM    59932.08105  19.99 u    2.59  2.28   1.14 
GTC/ULTRACAM    59932.08105  19.99 g   -0.47  0.95  -0.50 
GTC/ULTRACAM    59932.08105  19.99 i    2.39  2.40   1.00 
GTC/ULTRACAM    59932.08128  19.99 u    3.33  2.45   1.36 
GTC/ULTRACAM    59932.08128  19.99 g   -1.96  0.93  -2.12 
GTC/ULTRACAM    59932.08128  19.99 i    2.19  2.54   0.86 
GTC/ULTRACAM    59932.08151  19.99 u    3.62  2.47   1.47 
GTC/ULTRACAM    59932.08151  19.99 g    0.31  0.96   0.33 
GTC/ULTRACAM    59932.08151  19.99 i   -0.54  2.21  -0.24 
GTC/ULTRACAM    59932.08174  19.99 u   -1.73  2.58  -0.67 
GTC/ULTRACAM    59932.08174  19.99 g   -1.77  0.94  -1.89 
GTC/ULTRACAM    59932.08174  19.99 i   -2.47  2.38  -1.04 
GTC/ULTRACAM    59932.08198  19.99 u    4.94  2.07   2.39 
GTC/ULTRACAM    59932.08198  19.99 g   -2.25  0.83  -2.70 
GTC/ULTRACAM    59932.08198  19.99 i    5.03  2.17   2.32 
GTC/ULTRACAM    59932.08221  19.99 u    1.77  2.26   0.78 
GTC/ULTRACAM    59932.08221  19.99 g   -0.32  0.92  -0.35 
GTC/ULTRACAM    59932.08221  19.99 i    0.07  2.38   0.03 
GTC/ULTRACAM    59932.08244  19.99 u   -0.96  2.51  -0.38 
GTC/ULTRACAM    59932.08244  19.99 g    1.10  0.89   1.24 
GTC/ULTRACAM    59932.08244  19.99 i    6.40  2.19   2.92 
GTC/ULTRACAM    59932.08267  19.99 u   -1.98  2.33  -0.85 
GTC/ULTRACAM    59932.08267  19.99 g   -0.05  0.96  -0.05 
GTC/ULTRACAM    59932.08267  19.99 i   -3.54  2.34  -1.51 
GTC/ULTRACAM    59932.08290  19.99 u    4.21  2.41   1.75 
GTC/ULTRACAM    59932.08290  19.99 g    0.55  0.96   0.57 
GTC/ULTRACAM    59932.08290  19.99 i   -0.51  2.31  -0.22 
GTC/ULTRACAM    59932.08313  19.99 u    5.01  2.59   1.93 
GTC/ULTRACAM    59932.08313  19.99 g    0.90  0.93   0.96 
GTC/ULTRACAM    59932.08313  19.99 i    3.03  2.39   1.27 
GTC/ULTRACAM    59932.08337  19.99 u    2.55  2.42   1.05 
GTC/ULTRACAM    59932.08337  19.99 g    0.58  0.95   0.61 
GTC/ULTRACAM    59932.08337  19.99 i    1.02  2.29   0.45 
GTC/ULTRACAM    59932.08360  19.99 u   -2.48  2.29  -1.08 
GTC/ULTRACAM    59932.08360  19.99 g    0.61  1.01   0.60 
GTC/ULTRACAM    59932.08360  19.99 i    2.05  2.15   0.95 
GTC/ULTRACAM    59932.08383  19.99 u    4.53  2.46   1.84 
GTC/ULTRACAM    59932.08383  19.99 g    0.33  0.98   0.33 
GTC/ULTRACAM    59932.08383  19.99 i    2.97  2.33   1.27 
GTC/ULTRACAM    59932.08406  19.99 u   -0.10  2.58  -0.04 
GTC/ULTRACAM    59932.08406  19.99 g    0.85  0.98   0.87 
GTC/ULTRACAM    59932.08406  19.99 i    1.01  2.55   0.40 
GTC/ULTRACAM    59932.08429  19.99 u    8.44  2.53   3.34 *
GTC/ULTRACAM    59932.08429  19.99 g   -0.08  1.06  -0.08 
GTC/ULTRACAM    59932.08429  19.99 i   -2.21  2.60  -0.85 
GTC/ULTRACAM    59932.08452  19.99 u    3.16  2.33   1.36 
GTC/ULTRACAM    59932.08452  19.99 g    1.49  0.94   1.58 
GTC/ULTRACAM    59932.08452  19.99 i   -2.24  2.40  -0.93 
GTC/ULTRACAM    59932.08476  19.99 u    6.84  2.43   2.81 
GTC/ULTRACAM    59932.08476  19.99 g    1.52  0.96   1.58 
GTC/ULTRACAM    59932.08476  19.99 i    4.15  2.40   1.73 
GTC/ULTRACAM    59932.08499  19.99 u    1.26  2.80   0.45 
GTC/ULTRACAM    59932.08499  19.99 g    1.40  0.96   1.46 
GTC/ULTRACAM    59932.08499  19.99 i    2.52  2.17   1.16 
GTC/ULTRACAM    59932.08522  19.99 u    3.82  2.40   1.59 
GTC/ULTRACAM    59932.08522  19.99 g    0.06  1.03   0.06 
GTC/ULTRACAM    59932.08522  19.99 i    3.52  2.48   1.42 
GTC/ULTRACAM    59932.08545  19.99 u    3.38  2.65   1.28 
GTC/ULTRACAM    59932.08545  19.99 g    0.53  0.92   0.58 
GTC/ULTRACAM    59932.08545  19.99 i   -0.99  2.11  -0.47 
GTC/ULTRACAM    59932.08568  19.99 u    4.52  2.83   1.60 
GTC/ULTRACAM    59932.08568  19.99 g    0.56  0.90   0.63 
GTC/ULTRACAM    59932.08568  19.99 i   -2.88  2.06  -1.40 
GTC/ULTRACAM    59932.08591  19.99 u   -1.17  2.52  -0.46 
GTC/ULTRACAM    59932.08591  19.99 g    2.23  0.85   2.63 
GTC/ULTRACAM    59932.08591  19.99 i    4.51  2.12   2.13 
GTC/ULTRACAM    59932.08614  19.99 u    1.56  2.39   0.65 
GTC/ULTRACAM    59932.08614  19.99 g    0.17  0.93   0.18 
GTC/ULTRACAM    59932.08614  19.99 i    4.01  2.16   1.86 
GTC/ULTRACAM    59932.08638  19.99 u    2.81  2.70   1.04 
GTC/ULTRACAM    59932.08638  19.99 g    0.42  0.88   0.48 
GTC/ULTRACAM    59932.08638  19.99 i    4.19  2.23   1.88 
GTC/ULTRACAM    59932.08661  19.99 u    1.47  2.31   0.64 
GTC/ULTRACAM    59932.08661  19.99 g    2.11  0.95   2.21 
GTC/ULTRACAM    59932.08661  19.99 i    2.31  2.21   1.05 
GTC/ULTRACAM    59932.08684  19.99 u    2.73  2.57   1.06 
GTC/ULTRACAM    59932.08684  19.99 g    0.65  0.98   0.67 
GTC/ULTRACAM    59932.08684  19.99 i    2.74  1.96   1.40 
GTC/ULTRACAM    59932.08707  19.99 u    2.46  2.51   0.98 
GTC/ULTRACAM    59932.08707  19.99 g    1.35  1.01   1.34 
GTC/ULTRACAM    59932.08707  19.99 i    0.22  2.17   0.10 
GTC/ULTRACAM    59932.08730  19.99 u    0.86  2.43   0.35 
